title;desc;url;ingredients;steps;tools
Aardbeien sgroppino;De Sgroppino is oorspronkelijk een fris Noord-Italiaans drankje en is een perfecte combinatie tussen een cocktail en een ijsje. De aardbeiensgroppino is een heerlijke variatie op de smaken van de originele! Drink hem tussen gerechten in of als dessert.;https://cocktailrecepten.com/recept/aardbeien-sgroppino;['125 ml Citroensorbetijs', '125 ml Prosecco', '25 ml Vodka', '62.5 gr Aardbeien'];['Pak een kom en leg de mixer alvast klaar.', 'Doe het ijs en de aardbeien erin.', 'Klop met een mixer terwijl je beetje bij beetje de prosecco en vodka erbij schenkt.', 'Pak een champagneflûte en schenk de sgroppino erin als het een mooi geheel is geworden. Geniet!'];['Champagneglas', 'Barmaatje', 'Staafmixer', 'Mengkom']
Absolut Reality;Naast deze bijzondere kleur smaakt ie ook nog eens lekker! De Absolut Reality heeft een licht bitterzoete smaak waar je voornamelijk de appelsap in terug proeft. Ijskoud in een longdrink of highball glas smaakt ie het lekkerst!;https://cocktailrecepten.com/recept/absolut-reality;['150 ml Appelsap', '25 ml Blue curaçao', '45 ml Vodka'];['Pak een longdrinkglas en doe hier wat ijsblokjes in.', 'Voeg de vodka, Blue Curaçao en het appelsap toe.', 'Roer een keer door en garneer met een schijfje appel.'];['Longdrinkglas', 'Barmaatje', 'Barlepel']
Adria Look;De Adria Look is een licht bruisende cocktail die we serveren in een champagneflûte. De cocktail heeft een lichtzoete en een beetje frisse smaak en een mooie blauwe kleur.;https://cocktailrecepten.com/recept/adria-look;['20 ml Blue curaçao', '60 ml Champagne', '20 ml Citroensap', '20 ml Gin'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Voeg de gin, blue curaçao en het citroensap toe. Shake!', 'Pak een champagneflûte en schenk de cocktail door een strainer in het glas.', 'Top af met de champagne en garneer met een schijfje citroen.'];['Champagneglas', 'Shaker', 'Barmaatje', 'Strainer']
Agua de Valencia;Agua de Valencia is het populairste drankje om te drinken in Valencia. De stad staat bekend om zijn vele sinaasappels en dat is dan ook het hoofdingrediënt van deze cocktail! Het is een lekker zomers drankje en smaakt gevaarlijk lekker! Let op: onderstaande ingrediënten zijn voor het maken van 1 kan!;https://cocktailrecepten.com/recept/agua-de-valencia;['375 ml Cava', '50 ml Gin', '150 ml Sinaasappelsap', '1 el Suiker', '50 ml Vodka'];['Pak een kan/karaf en doe hier eventueel een paar ijsblokjes in. Maar pas op, doe er niet teveel in want je wilt niet dat de cocktail te waterig wordt!', 'Doe hier vervolgens de suiker in, de vodka, gin en het sinaasappelsap. Voor het lekkerste resultaat gebruik je vers sap. Roer het even door.', 'Top af met de cava en roer eventueel nog een keer door.', 'Serveer de cocktail in een wit wijnglas en garneer deze met een schijfje sinaasappel.'];['Karaf', 'Coupe glas', 'Barmaatje', 'Barlepel']
Amaretto Fizz;Met de Amaretto Fizz breng je elke feestje op gang! Hij bruist lekker door de prosecco en je zet hem gemakkelijk op tafel! Naast prosecco maak je deze cocktail met sinaasappelsap en uiteraard amaretto, de van oorsprong Italiaanse likeur op basis van amandelen.;https://cocktailrecepten.com/recept/amaretto-fizz;['15 ml Amaretto', '60 ml Prosecco', '30 ml Sinaasappelsap'];['Pak een tumbler en doe hier een paar ijsblokjes in.', 'Voeg de amaretto en het sinaasappelsap toe.', 'Top het af met de prosecco en roer een keer door. Garneer met een schijfje sinaasappel.'];['Tumbler glas', 'Barmaatje', 'Barlepel']
Amaretto Flirt;De Amaretto Flirt is eigenlijk een mimosa met amaretto nog toegevoegd. Amaretto is een zoete likeur met een kenmerkende amandelsmaak. Sommigen doet het ook wel denken aan bitterkoekjes! En wist je dat amaro, bitter betekent?;https://cocktailrecepten.com/recept/amaretto-flirt;['30 ml Amaretto', '100 ml Prosecco', '60 ml Sinaasappelsap'];['Pak een wit wijnglas en doe hier wat ijsblokjes in.', 'Voeg de amaretto en het sinaasappelsap toe. Roer een keer door.', 'Schenk als laatste de prosecco erbij.'];[]
Amaretto Sour;De Amaretto Sour is een cocktail met zoals de naam al zegt met amaretto, en daarnaast met citroensap, suikersiroop, ei en angostura bitters. Het is een heerlijke combinatie van zoet en zuur.;https://cocktailrecepten.com/recept/amaretto-sour;['50 ml Amaretto', '1 scheutje Angostura bitters', '40 ml Citroensap', '1 stuk Ei', '20 ml Suikersiroop'];['Scheidt het eiwit van het eigeel en doe alleen het eiwit, samen met de amaretto, het citroensap, de suikersiroop, angostura bitters en een paar ijsblokjes in een cocktailshaker.', 'Shake goed door tot de cocktailshaker koud aan voelt.', 'Vul een tumbler met een paar ijsblokjes en schenk met een zeef de inhoud van de cocktailshaker erbij.', 'Garneer met een dun gesneden schilletje van een sinaasappel.'];['Tumbler glas', 'Shaker', 'Barmaatje', 'Zeef', 'Zesteur']
Ananas Punch;De Ananas Punch is een fruitige en tropische punch die perfect is voor een lekker warme zomerse dag! Voor het lekkerste resultaat gebruik je vers fruit en verse sappen. Let op: onderstaande ingrediënten zijn voor het vullen van 1 fishbowl!;https://cocktailrecepten.com/recept/ananas-punch;['125 gr Ananas', '375 ml Ananassap', '375 ml Ginger ale', '120 ml Malibu', '0.5 stuk Sinaasappel', '37.5 ml Ananas rum'];['Snijd de sinaasappel in plakken.', 'Pak een fishbowl en doe de plakken sinaasappel erin + de (diepvries) ananas stukjes.', 'Voeg de Malibu, ananasrum, ginger ale en het ananassap toe.', 'Voeg als laatste wat ijsblokjes toe en roer een keer door.'];['Fishbowl', 'Barmaatje', 'Barlepel']
Another Day of Sun;Oh Sunny Day! Wat een heerlijke cocktail en zo makkelijk te maken! Lekker fris en bruisend, heerlijk voor een warme dag.;https://cocktailrecepten.com/recept/another-day-of-sun;['120 ml Bruisend water', '10 ml Limoensap', '90 ml Sinaasappelsap', '60 ml Vodka'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Voeg de vodka, het limoensap en het sinaasappelsap toe. Shake!', 'Pak een hurricane glas en doe hier wat ijsblokjes in.', 'Schenk de cocktail door een strainer in het glas.', 'Top af met het bruisend water en garneer met een schijfje limoen.'];['Hurricane glas', 'Shaker', 'Barmaatje', 'Strainer']
Apekop Shot;De Apekop Shot! Ja, je leest het goed! Dit shotje is gebaseerd op het heerlijke snoepje wat we allemaal nog wel van vroeger kennen. De gele snoet en de zwarte kop met zijn zachte zoete drop en bananen smaak. Met maar 2 ingrediënten zet jij zo dit shotje op tafel!;https://cocktailrecepten.com/recept/apekop-shot;['20 ml Boswandeling', '20 ml Dropshot'];['Pak een shotglaasje en vul deze voor de helft met de Boswandeling.', 'Pak een barlepel of theelepeltje en schenk via de achterkant van de lepel de Dropshot erbij. Cheers!'];['Shotglas', 'Barmaatje', 'Barlepel']
